Year,Cyclonic Disturbances - BOB,Cyclonic Disturbances - AS,Cyclonic Disturbances - LAND,Cyclonic Disturbances - TOTAL,Cyclones - BOB,Cyclones - AS,Cyclones - LAND,Cyclones - TOTAL,Severe Cyclones - BOB,Severe Cyclones - AS,Severe Cyclones - LAND,Severe Cyclones - TOTAL
1891,9,1,3,13,2,1,1,4,1,1,1,3
1892,8,2,2,12,5,1,0,6,1,1,0,2
1893,10,1,1,12,9,1,0,10,3,1,0,4
1894,8,1,3,12,5,1,0,6,0,0,0,0
1895,10,1,0,11,4,1,0,5,4,0,0,4
1896,9,1,0,10,7,1,0,8,3,0,0,3
1897,9,1,2,12,5,1,0,6,2,0,0,2
1898,9,1,3,13,6,1,0,7,2,1,0,3
1899,7,0,0,7,3,0,0,3,0,0,0,0
1900,10,0,0,10,3,0,0,3,1,0,0,1
1901,5,1,0,6,2,1,0,3,1,1,0,2
1902,8,5,0,13,2,5,0,7,1,4,0,5
1903,10,3,1,14,5,3,0,8,0,2,0,2
1904,8,0,1,9,4,0,0,4,0,0,0,0
1905,8,1,1,10,5,1,0,6,0,0,0,0
1906,9,1,1,11,6,1,0,7,1,0,0,1
1907,10,3,2,15,5,3,0,8,2,2,0,4
1908,8,1,0,9,5,1,0,6,1,0,0,1
1909,8,0,0,8,4,0,0,4,4,0,0,4
1910,6,0,0,6,5,0,0,5,2,0,0,2
1911,5,1,1,7,3,1,1,5,2,1,1,4
1912,6,1,2,9,4,1,1,6,1,0,1,2
1913,9,0,1,10,6,0,0,6,2,0,0,2
1914,7,0,1,8,4,0,0,4,2,0,0,2
1915,9,0,0,9,6,0,0,6,0,0,0,0
1916,12,1,1,14,7,1,0,8,4,1,0,5
1917,7,2,1,10,1,2,0,3,1,0,0,1
1918,10,0,1,11,5,0,0,5,0,0,0,0
1919,10,1,0,11,5,1,0,6,2,1,0,3
1920,6,2,1,9,1,2,0,3,0,2,0,2
1921,9,0,1,10,4,0,0,4,1,0,0,1
1922,11,1,1,13,5,1,0,6,5,1,0,6
1923,13,0,3,16,4,0,0,4,3,0,0,3
1924,13,0,0,13,6,0,0,6,0,0,0,0
1925,16,2,2,20,7,0,0,7,3,0,0,3
1926,9,1,3,13,7,1,2,10,3,0,0,3
1927,16,2,0,18,5,2,0,7,2,0,0,2
1928,10,1,2,13,7,0,0,7,0,0,0,0
1929,13,1,1,15,5,1,0,6,0,0,0,0
1930,11,3,0,14,8,2,0,10,1,0,0,1
1931,11,0,0,11,5,0,0,5,1,0,0,1
1932,11,3,0,14,4,2,0,6,1,1,0,2
1933,13,1,2,16,7,1,0,8,2,1,0,3
1934,13,2,1,16,4,1,0,5,0,0,0,0
1935,12,2,1,15,4,2,0,6,2,0,0,2
1936,15,1,1,17,5,0,1,6,3,0,0,3
1937,16,1,2,19,6,0,0,6,2,0,0,2
1938,7,2,1,10,3,1,0,4,3,1,0,4
1939,13,2,4,19,5,0,2,7,3,0,0,3
1940,14,2,0,16,6,2,0,8,3,2,0,5
1941,15,2,2,19,7,1,0,8,3,1,0,4
1942,11,1,2,14,5,0,0,5,2,0,0,2
1943,12,1,1,14,7,0,0,7,1,0,0,1
1944,16,1,2,19,7,0,1,8,2,0,0,2
1945,13,1,1,15,3,0,0,3,2,0,0,2
1946,14,1,2,17,4,1,0,5,0,1,0,1
1947,16,2,0,18,3,1,0,4,1,1,0,2
1948,13,5,0,18,3,3,0,6,1,2,0,3
1949,11,1,0,12,1,0,0,1,1,0,0,1
1950,13,0,3,16,4,0,0,4,0,0,0,0
1951,11,3,1,15,2,2,0,4,1,1,0,2
1952,14,1,2,17,4,0,0,4,2,0,0,2
1953,9,0,1,10,1,0,0,1,1,0,0,1
1954,10,2,2,14,1,0,0,1,0,0,0,0
1955,13,0,0,13,6,0,0,6,2,0,0,2
1956,12,2,0,14,4,0,0,4,2,0,0,2
1957,4,3,0,7,2,1,0,3,0,1,0,1
1958,12,0,0,12,5,0,0,5,2,0,0,2
1959,10,4,2,16,3,3,0,6,1,2,0,3
1960,11,4,0,15,3,2,0,5,2,1,0,3
1961,12,3,3,18,3,2,0,5,2,2,0,4
1962,10,2,1,13,4,0,1,5,3,0,0,3
1963,13,4,0,17,3,3,0,6,3,1,0,4
1964,12,3,1,16,4,3,0,7,3,2,0,5
1965,12,1,1,14,5,1,0,6,4,0,0,4
1966,16,2,0,18,7,1,0,8,6,0,0,6
1967,14,0,1,15,6,0,0,6,4,0,0,4
1968,12,0,1,13,7,0,0,7,4,0,0,4
1969,12,1,1,14,6,0,0,6,1,0,0,1
1970,11,3,1,15,4,2,1,7,3,0,0,3
1971,10,3,2,15,5,2,0,7,4,2,0,6
1972,12,4,2,18,5,1,1,7,4,1,1,6
1973,10,4,2,16,5,1,0,6,3,0,0,3
1974,8,4,0,12,4,3,0,7,2,1,0,3
1975,13,5,2,20,5,2,0,7,2,2,0,4
1976,9,3,2,14,7,2,1,10,5,2,0,7
1977,12,4,2,18,4,1,0,5,4,1,0,5
1978,10,1,3,14,5,0,0,5,3,0,0,3
1979,8,3,0,11,3,2,0,5,2,2,0,4
1980,7,3,4,14,3,0,0,3,0,0,0,0
1981,10,1,1,12,5,1,0,6,2,1,0,3
1982,12,5,3,20,4,1,0,5,4,1,0,5
1983,4,1,3,8,3,0,0,3,2,0,0,2
1984,5,2,0,7,3,0,0,3,3,0,0,3
1985,11,2,2,15,6,1,0,7,2,0,0,2
1986,5,1,2,8,1,0,0,1,0,0,0,0
1987,6,0,3,9,5,0,0,5,3,0,0,3
1988,8,1,0,9,3,0,0,3,2,0,0,2
1989,9,1,0,10,3,0,0,3,2,0,0,2
1990,8,1,2,11,2,0,0,2,2,0,0,2
1991,8,0,0,8,3,0,0,3,1,0,0,1
1992,8,4,0,12,4,2,0,6,2,0,0,2
1993,4,1,0,5,1,1,0,2,1,1,0,2
1994,6,2,0,8,2,2,0,4,2,2,0,4
1995,7,1,0,8,2,1,0,3,2,0,0,2
1996,6,2,1,9,3,2,0,5,2,2,0,4
1997,8,1,0,9,3,0,0,3,2,0,0,2
1998,6,6,1,13,3,3,0,6,3,2,0,5
1999,7,1,1,9,3,1,0,4,2,1,0,3
2000,6,0,1,7,4,0,0,4,2,0,0,2
2001,3,3,0,6,1,3,0,4,0,1,0,1
2002,5,1,0,6,3,1,0,4,1,0,0,1
2003,6,1,0,7,2,1,0,3,2,1,0,3
2004,3,5,2,10,1,3,0,4,1,3,0,4
2005,9,2,1,12,4,0,0,4,0,0,0,0
2006,10,1,1,12,2,1,0,3,1,1,0,2
2007,9,3,0,12,2,2,0,4,1,1,0,2
2008,7,2,1,10,3,0,1,4,1,0,0,1
2009,5,3,0,8,3,1,0,4,1,0,0,1
2010,6,2,0,8,3,2,0,5,3,1,0,4
2011,4,5,1,10,0,2,0,2,0,1,0,1
2012,3,2,0,5,1,1,0,2,0,0,0,0
2013,8,1,1,10,5,0,0,5,4,0,0,4
2014,5,2,1,8,1,2,0,3,1,1,0,2
2015,3,5,4,12,1,3,0,4,0,2,0,2
2016,6,2,2,10,4,0,0,4,1,0,0,1
2017,8,0,2,10,3,0,0,3,2,0,0,2
2018,9,4,1,14,4,3,0,7,3,3,0,6
2019,4,8,0,12,3,5,0,8,2,5,0,7
